"file","caption","category","png_time","Run_time"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lendat_data_weighting_TA1.8_3_CA_SouthOf4010_Rec_PC.png","Francis data weighting method TA1.8 3_CA_SouthOf4010_Rec_PC <br> Suggested sample size adjustment (with 95% interval) for len data from 3_CA_SouthOf4010_Rec_PC:<br>0.8935 (0.6226-1.6022)","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lendat_flt4mkt2.png","length comp data, retained, 4_CA_SouthOf4010_Rec_PR","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lendat_bubflt4mkt2.png","length comp data, retained, 4_CA_SouthOf4010_Rec_PR (max=0.35)","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lendat_data_weighting_TA1.8_4_CA_SouthOf4010_Rec_PR.png","Francis data weighting method TA1.8 4_CA_SouthOf4010_Rec_PR <br> Suggested sample size adjustment (with 95% interval) for len data from 4_CA_SouthOf4010_Rec_PR:<br>0.9716 (0.6184-1.9537)","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lendat_flt5mkt0.png","length comp data, whole catch, 5_CA_SouthOf4010_Rec_PC_DWV_index","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lendat_bubflt5mkt0.png","length comp data, whole catch, 5_CA_SouthOf4010_Rec_PC_DWV_index (max=0.39)","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lendat_data_weighting_TA1.8_5_CA_SouthOf4010_Rec_PC_DWV_index.png","Francis data weighting method TA1.8 5_CA_SouthOf4010_Rec_PC_DWV_index <br> Suggested sample size adjustment (with 95% interval) for len data from 5_CA_SouthOf4010_Rec_PC_DWV_index:<br>1.4722 (0.9387-3.6947)","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lendat_flt7mkt0.png","length comp data, whole catch, 7_CA_SouthOf4010_CCFRP_comps_only","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lendat_bubflt7mkt0.png","length comp data, whole catch, 7_CA_SouthOf4010_CCFRP_comps_only (max=0.36)","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lendat_data_weighting_TA1.8_7_CA_SouthOf4010_CCFRP_comps_only.png","Francis data weighting method TA1.8 7_CA_SouthOf4010_CCFRP_comps_only <br> Suggested sample size adjustment (with 95% interval) for len data from 7_CA_SouthOf4010_CCFRP_comps_only:<br>1.0273 (0.5252-8.1168)","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_lendat_mkt2_aggregated_across_time.png","length comp data, retained, aggregated across time by fleet","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_lendat_mkt1_aggregated_across_time.png","length comp data, discard, aggregated across time by fleet","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_lendat_mkt0_aggregated_across_time.png","length comp data, whole catch, aggregated across time by fleet","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_lendat_sex1mkt2_multi-fleet_comparison.png","Note: this plot doesn't seem to be working right for some models.<br><br> length comp data, sexes combined, retained, comparing across fleets","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_lendat_sex1mkt1_multi-fleet_comparison.png","Note: this plot doesn't seem to be working right for some models.<br><br> length comp data, sexes combined, discard, comparing across fleets","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_lendat_sex1mkt0_multi-fleet_comparison.png","Note: this plot doesn't seem to be working right for some models.<br><br> length comp data, sexes combined, whole catch, comparing across fleets","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_agedat_flt3mkt0.png","age comp data, whole catch, 3_CA_SouthOf4010_Rec_PC","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_agedat_bubflt3mkt0.png","age comp data, whole catch, 3_CA_SouthOf4010_Rec_PC (max=0.96)","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_agedat_data_weighting_TA1.8_3_CA_SouthOf4010_Rec_PC.png","Francis data weighting method TA1.8 3_CA_SouthOf4010_Rec_PC <br> Suggested sample size adjustment (with 95% interval) for age data from 3_CA_SouthOf4010_Rec_PC:<br>1.1992 (0.6831-3.8984)","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_agedat_mkt0_aggregated_across_time.png","age comp data, whole catch, aggregated across time by fleet","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_agedat_sex1mkt0_multi-fleet_comparison.png","Note: this plot doesn't seem to be working right for some models.<br><br> age comp data, sexes combined, whole catch, comparing across fleets","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_condAALdat_bubflt8mkt0.png","conditional age-at-length data, whole catch, 8_CA_SouthOf4010_Abrams_thesis_comps (max=0.96)","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_condAALdat_data_weighting_TA1.8_condAge8_CA_SouthOf4010_Abrams_thesis_comps.png","Francis data weighting method TA1.8 for conditional age data 8_CA_SouthOf4010_Abrams_thesis_comps <br>For more info, see<br> <blockquote>Francis, R.I.C.C. (2011). Data weighting in statistical fisheries stock assessment models. <i>Can. J. Fish. Aquat. Sci.</i> 68: 1124-1138.</blockquote>","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_condAALdat_Andre_plotsflt8mkt0.png","Conditional AAL plot, whole catch, 8_CA_SouthOf4010_Abrams_thesis_comps","CompDat",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lenfit_flt1mkt2.png","length comps, retained, 1_CA_SouthOf4010_Comm_Dead","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lenfit_residsflt1mkt2.png","Pearson residuals, retained, 1_CA_SouthOf4010_Comm_Dead (max=1.27) <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_lenfit_sampsize_flt1mkt2.png","N-EffN comparison, length comps, retained, 1_CA_SouthOf4010_Comm_Dead","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lenfit_data_weighting_TA1.8_1_CA_SouthOf4010_Comm_Dead.png","Francis data weighting method TA1.8 1_CA_SouthOf4010_Comm_Dead <br> Suggested sample size adjustment (with 95% interval) for len data from 1_CA_SouthOf4010_Comm_Dead:<br>1.0226 (0.7059-6.4391)","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lenfit_flt2mkt2.png","length comps, retained, 2_CA_SouthOf4010_Comm_Live","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lenfit_residsflt2mkt2.png","Pearson residuals, retained, 2_CA_SouthOf4010_Comm_Live (max=5.74) <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_lenfit_sampsize_flt2mkt2.png","N-EffN comparison, length comps, retained, 2_CA_SouthOf4010_Comm_Live","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lenfit_data_weighting_TA1.8_2_CA_SouthOf4010_Comm_Live.png","Francis data weighting method TA1.8 2_CA_SouthOf4010_Comm_Live <br> Suggested sample size adjustment (with 95% interval) for len data from 2_CA_SouthOf4010_Comm_Live:<br>0.9896 (0.6198-2.983)","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lenfit_flt2mkt1.png","length comps, discard, 2_CA_SouthOf4010_Comm_Live","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lenfit_residsflt2mkt1.png","Pearson residuals, discard, 2_CA_SouthOf4010_Comm_Live (max=4.16) <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_lenfit_sampsize_flt2mkt1.png","N-EffN comparison, length comps, discard, 2_CA_SouthOf4010_Comm_Live","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lenfit_data_weighting_TA1.8_2_CA_SouthOf4010_Comm_Live.png","Francis data weighting method TA1.8 2_CA_SouthOf4010_Comm_Live <br> Suggested sample size adjustment (with 95% interval) for len data from 2_CA_SouthOf4010_Comm_Live:<br>0.9896 (0.6298-2.8609)","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lenfit_flt3mkt2.png","length comps, retained, 3_CA_SouthOf4010_Rec_PC","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lenfit_residsflt3mkt2.png","Pearson residuals, retained, 3_CA_SouthOf4010_Rec_PC (max=4.06) <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_lenfit_sampsize_flt3mkt2.png","N-EffN comparison, length comps, retained, 3_CA_SouthOf4010_Rec_PC","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lenfit_data_weighting_TA1.8_3_CA_SouthOf4010_Rec_PC.png","Francis data weighting method TA1.8 3_CA_SouthOf4010_Rec_PC <br> Suggested sample size adjustment (with 95% interval) for len data from 3_CA_SouthOf4010_Rec_PC:<br>0.8935 (0.6291-1.5781)","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lenfit_flt4mkt2.png","length comps, retained, 4_CA_SouthOf4010_Rec_PR","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lenfit_residsflt4mkt2.png","Pearson residuals, retained, 4_CA_SouthOf4010_Rec_PR (max=4.54) <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_lenfit_sampsize_flt4mkt2.png","N-EffN comparison, length comps, retained, 4_CA_SouthOf4010_Rec_PR","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lenfit_data_weighting_TA1.8_4_CA_SouthOf4010_Rec_PR.png","Francis data weighting method TA1.8 4_CA_SouthOf4010_Rec_PR <br> Suggested sample size adjustment (with 95% interval) for len data from 4_CA_SouthOf4010_Rec_PR:<br>0.9716 (0.6531-1.8546)","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lenfit_flt5mkt0.png","length comps, whole catch, 5_CA_SouthOf4010_Rec_PC_DWV_index","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lenfit_residsflt5mkt0.png","Pearson residuals, whole catch, 5_CA_SouthOf4010_Rec_PC_DWV_index (max=3.67) <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_lenfit_sampsize_flt5mkt0.png","N-EffN comparison, length comps, whole catch, 5_CA_SouthOf4010_Rec_PC_DWV_index","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lenfit_data_weighting_TA1.8_5_CA_SouthOf4010_Rec_PC_DWV_index.png","Francis data weighting method TA1.8 5_CA_SouthOf4010_Rec_PC_DWV_index <br> Suggested sample size adjustment (with 95% interval) for len data from 5_CA_SouthOf4010_Rec_PC_DWV_index:<br>1.4722 (0.9341-3.5256)","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lenfit_flt7mkt0.png","length comps, whole catch, 7_CA_SouthOf4010_CCFRP_comps_only","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lenfit_residsflt7mkt0.png","Pearson residuals, whole catch, 7_CA_SouthOf4010_CCFRP_comps_only (max=5.19) <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_lenfit_sampsize_flt7mkt0.png","N-EffN comparison, length comps, whole catch, 7_CA_SouthOf4010_CCFRP_comps_only","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_lenfit_data_weighting_TA1.8_7_CA_SouthOf4010_CCFRP_comps_only.png","Francis data weighting method TA1.8 7_CA_SouthOf4010_CCFRP_comps_only <br> Suggested sample size adjustment (with 95% interval) for len data from 7_CA_SouthOf4010_CCFRP_comps_only:<br>1.0273 (0.526-7.7076)","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_lenfit_mkt2_aggregated_across_time.png","length comps, retained, aggregated across time by fleet","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_lenfit_mkt1_aggregated_across_time.png","length comps, discard, aggregated across time by fleet","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_lenfit_mkt0_aggregated_across_time.png","length comps, whole catch, aggregated across time by fleet","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_lenfit_sex1mkt2_multi-fleet_comparison.png","Note: this plot doesn't seem to be working right for some models.<br><br> Pearson residuals, sexes combined, retained, comparing across fleets <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_lenfit_sex1mkt1_multi-fleet_comparison.png","Note: this plot doesn't seem to be working right for some models.<br><br> Pearson residuals, sexes combined, discard, comparing across fleets <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_lenfit_sex1mkt0_multi-fleet_comparison.png","Note: this plot doesn't seem to be working right for some models.<br><br> Pearson residuals, sexes combined, whole catch, comparing across fleets <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_gstlenfit_flt3mkt2.png","ghost length comps, retained, 3_CA_SouthOf4010_Rec_PC","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_gstlenfit_residsflt3mkt2.png","Pearson residuals, retained, 3_CA_SouthOf4010_Rec_PC (max=NA) <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_gstlenfit_flt4mkt2.png","ghost length comps, retained, 4_CA_SouthOf4010_Rec_PR","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_gstlenfit_residsflt4mkt2.png","Pearson residuals, retained, 4_CA_SouthOf4010_Rec_PR (max=NA) <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).","LenComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_agefit_flt3mkt0.png","age comps, whole catch, 3_CA_SouthOf4010_Rec_PC","AgeComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_agefit_residsflt3mkt0.png","Pearson residuals, whole catch, 3_CA_SouthOf4010_Rec_PC (max=15.71) <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).","AgeComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_agefit_sampsize_flt3mkt0.png","N-EffN comparison, age comps, whole catch, 3_CA_SouthOf4010_Rec_PC","AgeComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_agefit_data_weighting_TA1.8_3_CA_SouthOf4010_Rec_PC.png","Francis data weighting method TA1.8 3_CA_SouthOf4010_Rec_PC <br> Suggested sample size adjustment (with 95% interval) for age data from 3_CA_SouthOf4010_Rec_PC:<br>1.1992 (0.6726-4.154)","AgeComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_agefit_mkt0_aggregated_across_time.png","age comps, whole catch, aggregated across time by fleet","AgeComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/comp_agefit_sex1mkt0_multi-fleet_comparison.png","Note: this plot doesn't seem to be working right for some models.<br><br> Pearson residuals, sexes combined, whole catch, comparing across fleets <br> 
Closed bubbles are positive residuals (observed > expected) and open bubbles are negative residuals (observed < expected).","AgeComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_condAALfit_data_weighting_TA1.8_condAge8_CA_SouthOf4010_Abrams_thesis_comps.png","Francis data weighting method TA1.8 for conditional age data 8_CA_SouthOf4010_Abrams_thesis_comps <br>For more info, see<br> <blockquote>Francis, R.I.C.C. (2011). Data weighting in statistical fisheries stock assessment models. <i>Can. J. Fish. Aquat. Sci.</i> 68: 1124-1138.</blockquote>","A@LComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//comp_condAALfit_Andre_plotsflt8mkt0.png","Conditional AAL plot, whole catch, 8_CA_SouthOf4010_Abrams_thesis_comps","A@LComp",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/yield1_yield_curve.png","Yield curve","Yield",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots/yield2_Hilborn_surplus_production.png","Surplus production plot. For interpretation, see<br> <blockquote>Walters, Hilborn, and  Christensen, 2008, Surplus production dynamics in declining and recovering fish populations. <i>Can. J. Fish. Aquat. Sci.</i> 65: 2536-2551.</blockquote>","Yield",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
"C:/Assessment 2015/China rockfish/SS/SS_chinaS/plots//data_plot.png","Data presence by year for each fleet","Data",2015-06-16 10:22:16,"StartTime: Mon Jun 15 11:52:48 2015"
